Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,KL Rahul,Kings XI Punjab,327,1.099,0.217,"$1,718,750","$2,270,795"
2,JJ Bumrah,Mumbai Indians,310,1.043,0.239,"$1,093,750","$2,183,813"
3,K Rabada,Delhi Capitals,240,0.807,0.21,"$656,250","$1,817,248"
4,S Dhawan,Delhi Capitals,214,0.7190000000000001,0.163,"$812,500","$1,680,562"
5,YS Chahal,Royal Challengers Bangalore,205,0.69,0.18100000000000002,"$937,500","$1,635,518"
6,Rashid Khan,Sunrisers Hyderabad,195,0.655,0.179,"$1,406,250","$1,581,155"
7,SA Yadav,Mumbai Indians,174,0.585,0.11900000000000001,"$500,000","$1,472,428"
8,V Kohli,Royal Challengers Bangalore,174,0.585,0.133,"$2,656,250","$1,472,428"
9,JC Archer,Rajasthan Royals,172,0.5760000000000001,0.21,"$1,125,000","$1,458,448"
10,MA Agarwal,Kings XI Punjab,170,0.57,0.126,"$156,250","$1,449,129"
11,Ishan Kishan,Mumbai Indians,167,0.56,0.122,"$968,750","$1,433,596"
12,AB de Villiers,Royal Challengers Bangalore,163,0.5479999999999999,0.124,"$1,718,750","$1,414,958"
13,F du Plessis,Chennai Super Kings,144,0.484,0.129,"$250,000","$1,315,550"
14,CH Gayle,Kings XI Punjab,133,0.44799999999999995,0.105,"$312,500","$1,259,633"
15,Mohammed Shami,Kings XI Punjab,132,0.444,0.16,"$685,700","$1,253,420"
16,TA Boult,Mumbai Indians,130,0.43799999999999994,0.159,"$460,000","$1,244,101"
17,DA Warner,Sunrisers Hyderabad,129,0.434,0.136,"$1,953,130","$1,237,888"
18,Shubman Gill,Kolkata Knight Riders,119,0.39799999999999996,0.12,"$281,250","$1,181,971"
19,KA Pollard,Mumbai Indians,114,0.381,0.10800000000000001,"$843,750","$1,155,566"
20,JO Holder,Sunrisers Hyderabad,104,0.349,0.08800000000000001,"$105,000","$1,105,862"
21,SS Iyer,Delhi Capitals,100,0.336,0.109,"$1,093,750","$1,085,670"
22,Q de Kock,Mumbai Indians,99,0.33299999999999996,0.11800000000000001,"$437,500","$1,081,010"
23,WP Saha,Sunrisers Hyderabad,99,0.332,0.065,"$171,400","$1,079,457"
24,MK Pandey,Sunrisers Hyderabad,95,0.318,0.12,"$1,718,750","$1,057,711"
25,N Pooran,Kings XI Punjab,94,0.316,0.09699999999999999,"$600,000","$1,054,605"
26,CH Morris,Royal Challengers Bangalore,85,0.287,0.12,"$1,718,750","$1,009,561"
27,D Padikkal,Royal Challengers Bangalore,80,0.267,0.111,"$28,600","$978,496"
28,A Nortje,Delhi Capitals,77,0.259,0.13699999999999998,"$28,600","$966,070"
29,CV Varun,Kolkata Knight Riders,75,0.25,0.133,"$1,200,000","$952,091"
